UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Nadiaaa,@starmoonfest,2021-05-04T23:28:31.000Z,"lu bucin bias lu, bias lu bucin bias dia sendiri . paham kan? paham lah masa enggak 
#Youn1tselcaday
#HappyYoun1tdayFiki.",💫 🌜 😁 😁,2,3,22
meOng meOng,@ong_bucin,2021-05-04T08:47:38.000Z,"""Lo mah gk pernah tau kan rasanya gk dikabarin seharian""

Sial, dia belom tau bias gw ong seongwu",🐱,,96,163
angga tulungtulung,@apaansihhlo,2021-05-04T14:06:30.000Z,"Bucin terus sampe mampusss
#IkatanCintaEp261
#IkatanCinta",😭,,18,222
지지,@awwPSJ,2021-05-04T09:42:06.000Z,"Owner-nya...                          Bucin annya..

Jae vs cat ",🥕 🌅 🤣 🤣,2,8,22
Dayeen,@diaanrhm,2021-05-04T21:48:12.000Z,"Emang ga ganteng si, tp pelet Neymar kuat bgt anjir
 bucin dr 2013 sampe sekarang kyk neymar pesepak bola terganteng terkeren versiku",😭 😭 👍,4,3,23
ON - jhf!,@jihopefess,2021-05-04T11:28:40.000Z,"Jhf! Udah series bucin ke empat, ada yang mau baca?

Hoseok yang bucin bisa apa kalau Jimin sudah minta tukeran posisi sehari.",,1,2,22
OMHN FESS - coming soon,@OmiHinaFess,2021-05-04T14:26:27.000Z,"#omihina #omihinafess #omhn

HALO! Para bucin OmiHina!! Base khusus untuk hype kapal kesayangan kalian ini sudah hadir, lho!
Bantu RT dan like agar sesama bucin OmiHina bisa tau base ini ya",🥰 😘,3,54,52
"crvt
trans",@crvt_ind,2021-05-04T14:48:58.000Z,"[FANCAFE] SERIM
4 Mei 2021 23:27 KST

He..Apa terlalu banyak tambahannya
***cie serim lagi bucin yogurt sampai tambahan toppingnya banyak gitu",😛 😂,,2,24
"DM
use /bvb/",@bangveltbase,2021-05-04T15:15:02.000Z,•halo Seberapa bucin pacar kamu?,💌,,1,28
𝐁𝐮𝐦𝐢 • 𝐒𝐀𝐆Λ,@euterpearth,2021-05-04T07:00:42.000Z,ㅡ terverifikasi bucin,,8,4,192
Anis Aulia,@airenanisau,2021-05-04T15:25:16.000Z,"#LeeSeungGi yang selalu nyengir kapan pun dimana pun

matanya itu lohh berbinar bgt kl nyengir, ganteng banget. Jatuh cinta bgt ama seunggi ga tau untuk yg keberapa kali, ditambah hr ini rewatch beberapa ep jipsabu & little forest. Makin bucin",,,,4
Badi,@badi_bucinFeni,2021-05-04T05:28:27.000Z,"semangat 
@S_GraciaJKT48
, jangan sedih-sedih lagi ya, jngan merasa gak pantas atau merasa gak didukung, bnyak yg sayang sama kamu. sekali lagi selamat gre dan para pendukungnya, ditunggu mv solonya, sumpah gak sabar hehe. ＧＲＡＣＩＡＳ",☺ 💜,,11,53
𝐩𝐢𝐨𝐧𝐚𝐫𝐚,@ourffairy,2021-05-04T16:27:45.000Z,"Membalas 
@ourffairypilihh yaw",🤫,2,,2
𝐩𝐢𝐨𝐧𝐚𝐫𝐚,@ourffairy,2021-05-04T21:05:59.000Z,- 26 ; cin bucin,,,2,7
Sal,@kaciima_,2021-05-04T14:30:41.000Z," bucin mode on 
Manis bgt senyumannyaaa aakkkkk",⚠,,,1
aku #TaxiDriver,@babueunbyeol,2021-05-04T23:06:26.000Z,"Astagfirullah kenapa gua baru bucin Kento skrg
 dia ganteng banget ya Allah",😭 😭 😭 😭 😭 😭 😭 😭 😭 💔,,,1
"ᴄᴀᴊᴇ
| trying to be active again",@dopeboba,2021-05-04T11:59:40.000Z,"hai gais aku ga on terus ya.. ini deh kukasih wip aja

lagi bucin karakter mcu jadi begini deh ehehehehehehehe",🥀,,,2
donatbunder,@estehjumbodua,2021-05-04T16:09:38.000Z,Antara bucin implora sama ngirit pengeluaran beda tipis ,🍩 🙂,,,1
"el
au damar | rest bentar",@est_02el,2021-05-04T13:05:06.000Z,"ada cowok dateng
[ mahen - saras ]",📌,,1,2
Rumput,@machidiony,2021-05-04T11:04:03.000Z,"#Hopeminau #Jihopeau

Short!

Hoseok yang bucin bisa apa kalau Jimin sudah minta tukeran posisi sehari.",,2,22,124
susan,@renjungold,2021-05-04T15:28:27.000Z,"Gimana gak bucin, renjun suaranya ngademin gini
Dive into you bakal jadi salah satu lagu favoritku sih ini mah

I WILL DIVE INTO YOU
YOUUUU UUU 
NCT DREAM DREAMVERSE!!

#NCTDREAM_맛_HotSauce
@NCTsmtown_DREAMDari ",😭 🐱 🎞,,1,3
ًJeje✿ au,@_jeongjaerish,2021-05-04T13:41:38.000Z,Agak membagongkan emang tapi bucin gimana dong??????,📌,2,5,35
riz lagi bucin mas indo,@narizkitaan,2021-05-04T15:20:01.000Z,"Yume lagi dong abis liat moots pada bikin asupan sendiri sendiri

SMA lokal AU",🏃,5,10,25
BucinTer,@bucin_ter,2021-05-04T10:36:36.000Z,"Jangan sampai ormas FPI bangkit dengan jubah yang berbeda.

#RingkusTeroris",,,1,6
lindayuliana,@Ngapainsayaa,2021-05-04T15:05:26.000Z,"Kalo kek gini mah,jadi bucin akunya 
Huhuhuh",,5,,12
wawa,@donkeyfullsun,2021-05-04T21:46:58.000Z,"haechan sedang melihat kemleyotan bucin""nya",,,1,13
𝙇 𝘼 𝙈,@aintyourcrussh,2021-05-05T00:02:54.000Z,"Kangen jadi bucin :(0:08
5 tayangan",,,,
"𝑳𝒂𝒗𝒂 𝑴𝒆𝒏𝒕𝒆𝒈𝒂
⁷ // Slow",@winterpyxis,2021-05-03T14:48:26.000Z,"|| 𝐎𝐧𝐞𝐭𝐰𝐞𝐞𝐭 𝐀𝐔 • 𝐊𝐎𝐎𝐊𝐕 ||

— ; Mereka pikir hubungan mereka hanyalah pertemuan singkat nan indah yang tidak akan terulang. Namun, sebaliknya. Takdir menuntut jalan lain untuk mereka berdua.",🧈,9,42,293
aprva,@bucin_kookv,2021-05-04T04:16:55.000Z,"mau kasig kakak thr siapabtau dilanjut
 meresahkan banget soalnya",😭 😭 😭 😭 😂 🙏,,,1
BURAIKAN,@monoreokun,2021-05-04T09:15:48.000Z,Muka muka bucin ke yang samping,,,,3
"Mel
|| hype pinned",@sweettayhin,2021-05-04T17:15:28.000Z,"BUCIN BTOEL ANJRIT
 #YDestinyEP6",👽 📌 😭 😭,,1,1
Aldebaran Bucin Alfahri,@alfahri_bucin,2021-05-04T13:35:02.000Z,"FIX INI RICKY KETIDURAN, ELSA KABUR . GAJADI ANU ANU. EH RICKY BESOKNYA BONGKAR KEBUSUKAN ELSA. YUK BISA YUK GINI WKWKW #IkatanCintaEp261",,,1,3
Vnlltea,@vnlttcha,2021-05-04T15:17:10.000Z,"Dipastikan diriku smakin bucin
#3rdTasteOfButter방탄소년단",🍵 👍 👍,,,4
